louvain cluster label,initial size spliced,initial size unspliced,initial size,n counts,dpt pseudotime,velocity pseudotime
P0,4107.5898,2270.056541,4107.59,2185.3914,0.050234412,0.17161433
P1,5213.95509,2735.964072,5213.955,2194.3882,0.270791514,0.201501555
P2,29114.36742,6570.339688,29114.367,3186.619,0.848684556,0.594081963
P3,17551.21667,5761.932292,17551.217,3136.3152,0.952163724,0.606362817
P4,33821.62903,9435.696774,33821.63,3276.9504,0.880939817,0.636337696
P5,15349.9388,4678.958384,15349.938,3024.7417,0.938588443,0.642646465
P6,13834.18238,3749.434243,13834.183,2994.9739,0.935234394,0.679315207
P7,12103.11881,4676.839604,12103.119,2865.4531,0.886436219,0.724141692
P8,7885.573363,3227.024831,7885.573,2737.5085,0.937531151,0.753212806
P9,5899.100587,2809.24057,5899.1006,2548.937,0.915781716,0.885670655
P10,4009.366109,1958.043933,4009.3662,2335.76,0.949905295,0.969074265
