,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
Kmt2e,0.86256212,0.827775896,0.690509617,0.929503262,0.87492311,0.741367221,0.730965078,0.786199272,1.149279952,0.979111135,1.022922158
Snrpb,0.935965955,0.963702381,1.770256281,1.620656133,1.706911564,1.681342363,1.56362617,1.277665734,1.284709811,1.126668215,1.089912653
Taf1b,0.112352297,0.14212124,0.192049652,0.235686779,0.233223483,0.155598864,0.177959487,0.206672758,0.201508135,0.185559973,0.163438633
Rnf141,0.038191583,0.031183934,0.041683856,0.061012786,0.055220604,0.035492327,0.036423933,0.043202754,0.029555345,0.029234184,0.028190523
Gadd45b,0.239274457,0.229570493,0.529949546,0.544652224,0.585976839,0.62481457,0.642473757,0.695006132,0.218787223,0.474182278,0.495727479
Cux1,0.323386937,0.291640252,0.137369305,0.187394246,0.194736242,0.159239203,0.132215679,0.220808387,0.129522443,0.189577579,0.153873146
Cry1,0.083904162,0.068071887,0.146463543,0.150233656,0.125433356,0.138022885,0.15303807,0.137103274,0.213055447,0.22243759,0.208198905
Ube2i,0.952310503,1.005370498,1.56605494,1.628624797,1.606531739,1.531895518,1.528575182,1.29476881,1.360719204,1.279938817,1.177374601
Cd81,0.016900176,0.007288495,0.041266877,0.016646819,0.031103577,0.012850407,0.012166885,0.038279913,0.010267382,0.00021295,0.003652176
Ddx5,2.406732798,2.741858482,2.21590662,2.260834694,2.225911617,2.058836937,2.164225578,2.334707737,2.186885834,2.553607702,2.535685062
Patz1,0.148687363,0.111101516,0.166006818,0.095498033,0.123295754,0.126844257,0.099139437,0.118410118,0.097826906,0.088452943,0.084087752
Gtf2h3,0.067933932,0.063605502,0.178110927,0.120598346,0.147567749,0.123749152,0.148350969,0.147819713,0.124529347,0.079579428,0.076940417
Klf16,0.050119203,0.074488431,0.137372285,0.052265752,0.075590312,0.117506854,0.097872891,0.07137607,0.086109422,0.057859991,0.085944712
Nfyc,0.120200031,0.16330567,0.298301935,0.308433563,0.33284232,0.247677147,0.256894052,0.203153953,0.180034801,0.171315938,0.152780324
Batf,0.185825124,0.233543321,0.946519673,0.81536901,0.793269098,0.789009333,0.819970667,1.170290709,0.696485579,0.52248621,0.315974087
Cbx2,0.012844562,0.002869389,0.028101206,0.006995806,0.011571505,0.024192758,0.0115385,0.008609695,0.00489664,0.002045931,0.001894351
Trip13,0.013054714,0.017443182,0.353057384,0.376338899,0.361863613,0.285857111,0.204352424,0.083508655,0.05270775,0.012658569,0.017526623
Cd38,0.008727503,0.017374476,0.033665907,0.0699002,0.058516201,0.052230336,0.060696833,0.081060372,0.150456786,0.080748029,0.045146115
Xbp1,0.087595068,0.112630762,0.324880034,0.275677741,0.388725042,0.27845785,0.378825217,0.233737394,0.278963983,0.171442479,0.121748857
Arid4b,0.622500658,0.792391181,0.521483719,0.573111117,0.585174441,0.446452975,0.493218422,0.66534847,0.615605831,0.742295325,0.66405344
Sin3a,0.144357309,0.129398555,0.247306913,0.259486645,0.259922892,0.246913463,0.143376246,0.160790563,0.153210834,0.146155134,0.1512191
H1f0,0.022387968,0.021872114,0.162789628,0.20010148,0.218566924,0.140682727,0.155654684,0.096625865,0.123233229,0.119407788,0.104044475
Thy1,0.708776772,1.088165283,1.006282449,1.33726573,1.296379328,1.298229575,1.426476359,0.756623805,1.267756104,1.547767401,1.512992859
Gtf3c4,0.03861833,0.023372373,0.066664249,0.037149087,0.030156428,0.04281275,0.036916465,0.036906317,0.043711904,0.024354547,0.034628879
Apex1,0.211983517,0.19624719,0.386948079,0.094117709,0.188556924,0.246158853,0.133790046,0.195669219,0.110503025,0.074948221,0.023767661
Hcfc1,0.23080045,0.178633481,0.520236671,0.513647139,0.511517465,0.419554085,0.39480406,0.344135135,0.353944629,0.277764499,0.223179042
Gabpb1,0.109057806,0.107349418,0.224238664,0.229375109,0.217809886,0.185323238,0.192599669,0.139126495,0.140210718,0.124380872,0.097814329
Il7r,1.210615635,1.26022768,0.18822515,0.090147004,0.173719943,0.077064872,0.094269827,0.413136125,0.247695565,0.565550148,0.083046451
Pou2f2,0.264539838,0.152470022,0.35280326,0.521957994,0.438866198,0.456833541,0.443940699,0.891196191,0.77151227,0.644319057,0.582881868
Klf3,0.911217272,0.72922641,0.227350354,0.385417432,0.417694867,0.238164112,0.380709678,0.266378403,0.263169199,0.652030706,0.971071243
Zbtb38,0.173327938,0.131977841,0.146705642,0.194136351,0.174935699,0.128561407,0.192003429,0.163282275,0.39928174,0.22973454,0.308476925
Cd53,1.368413568,1.619770288,0.956762433,1.223836064,1.131186485,1.061192751,1.237739801,1.294793606,1.395659685,1.662026167,1.200789332
Entpd1,0.002211803,0.009628143,0.035853479,0.08873038,0.081276767,0.058270268,0.085569963,0.006868489,0.167198002,0.0824866,0.075978413
Ccr2,0.014630186,0.073480651,0.275584638,0.50431478,0.416137487,0.346027195,0.488358945,0.043416783,0.486489147,1.366237283,1.026024938
Tet1,0.067440078,0.02009817,0.005357735,0.002738404,0.004514398,0.004073407,0.002741162,0.009458088,0.00336699,0.011953856,0.010159005
Il18rap,0.033986438,0.141872674,0.304101408,0.57645601,0.427479655,0.371900588,0.425806344,0.442421496,0.993520916,0.969205737,1.703484178
Il18r1,0.213526025,0.399305642,0.590848863,0.859853864,0.707289398,0.599296272,0.779200375,0.918851256,1.467178226,1.386160016,1.075535893
Itgae,0.25420171,0.027025545,0.007727154,0.005055268,0.007192739,0.003586642,0.010027093,0.00706748,0.026010577,0.004697384,0.017775025
Zfp296,0.008429137,0.02935639,0.035914812,0.028274547,0.037669998,0.031497598,0.037204757,0.066675872,0.026632493,0.020184653,0.007098696
Htatsf1,0.208701849,0.202046603,0.482058376,0.370544314,0.45185703,0.420096308,0.341784567,0.295018494,0.220606491,0.226982281,0.218236953
Atf7ip,0.629952252,0.58861202,0.252004594,0.580825806,0.408382714,0.314657211,0.346287131,0.531212032,0.535856724,0.476228625,0.489385396
Baz2a,0.369580358,0.337039977,0.305009216,0.364123821,0.392067343,0.282102555,0.357315242,0.407662094,0.487650514,0.463442355,0.543205082
Wdhd1,0.056181278,0.068907745,0.370919734,0.215939045,0.266775817,0.404148519,0.20641458,0.126024783,0.141074896,0.066205814,0.061510243
Tsg101,0.230432585,0.171669304,0.374577314,0.419481397,0.413847804,0.432034582,0.344234824,0.289721042,0.305630028,0.255541414,0.241185054
Cd2,1.261734486,1.196751714,1.056327462,1.555839062,1.298048496,1.337219954,1.48241663,1.371269464,1.755824089,1.854427934,1.682101846
Arid5b,0.341932595,0.327678621,0.124874346,0.294082075,0.225147516,0.191376299,0.162746549,0.378582329,0.374095559,0.327362686,0.343214691
Polr2j,0.460848182,0.434159756,1.014315605,0.917266965,0.9569965,0.96410358,0.941330373,0.728044033,0.747697175,0.611404538,0.529185593
Phf10,0.07530871,0.094589733,0.241565511,0.170022264,0.201628491,0.202108845,0.152125925,0.119160146,0.147339165,0.084977098,0.081484921
Hmga1,0.028274709,0.030504866,0.137054339,0.068817779,0.094974585,0.093425192,0.059737865,0.046940714,0.036850419,0.025370682,0.017262595
Trps1,0.075759009,0.067914009,0.202037796,0.201115355,0.223714724,0.222006217,0.153837979,0.419511735,0.309292912,0.184026822,0.168424249
Pcbd2,0.223699495,0.208800957,0.435872257,0.633484125,0.554932177,0.569979608,0.608215392,0.423153579,0.329783916,0.301465541,0.240334675
Ikzf3,0.235448524,0.275973529,0.420890421,0.515054345,0.515257776,0.525306642,0.514448166,0.605657756,0.784534574,0.52853936,0.732344508
Sirt1,0.114625633,0.125570461,0.197752371,0.165340558,0.191832274,0.175858423,0.127631247,0.104855821,0.118690424,0.111746274,0.104801416
Slamf6,0.551667452,0.633105636,0.565051854,0.556521714,0.560160756,0.460508674,0.508743048,1.390723109,0.432195783,0.479840398,0.19707495
Trp53bp1,0.10938058,0.081738144,0.11189726,0.075745232,0.084930196,0.070464537,0.068123601,0.110879004,0.1193977,0.06525211,0.051781259
Taf5l,0.131731361,0.137518778,0.222168028,0.164228454,0.207579017,0.191369563,0.150171593,0.161341548,0.170812607,0.149982259,0.11276073
Rfxap,0.219866812,0.21276851,0.435757965,0.36712876,0.395703167,0.371250033,0.400113255,0.328619093,0.324950546,0.322678953,0.27674222
Mcm3,0.19283098,0.175462618,1.276046753,0.815998971,1.15300715,1.425752997,0.959203064,0.44592309,0.548579931,0.220367745,0.161750019
Atad2b,0.265002698,0.321476489,0.206922427,0.256568134,0.252200156,0.202994823,0.184022471,0.350657195,0.269489259,0.279832363,0.283459574
Tnfaip3,0.283143073,1.208956361,0.637550294,1.162927985,1.027576804,0.947144091,0.901105881,1.240295291,0.78739816,1.476696014,1.431117654
S1pr1,1.000976443,0.867256224,0.490939975,0.740335107,0.702455163,0.538876951,0.651636839,0.443431199,0.603734493,0.707288384,0.686370611
Igsf8,0.031422328,0.041418042,0.148479223,0.092511542,0.122274928,0.104292482,0.086175933,0.039335635,0.051151078,0.048618197,0.050334346
Dnmt1,0.219596848,0.147410646,0.973133445,1.073606014,1.062609434,1.103200674,0.695594728,0.474840403,0.528862715,0.319366425,0.287966609
Rnps1,0.386858672,0.392623276,0.860800624,0.746874869,0.782871366,0.815359235,0.673506141,0.54686147,0.509975433,0.397355586,0.386101186
Taf6l,0.032598998,0.011023175,0.081094168,0.065112889,0.072861433,0.071262628,0.047207512,0.044791903,0.027729852,0.014329349,0.014266011
Tbx21,0.010177146,0.049915012,0.314778775,0.36625877,0.359247267,0.335232973,0.307146937,0.251123369,0.44398427,0.362739623,0.558363914
Sla2,0.263019592,0.186984792,0.259074181,0.405507356,0.370548069,0.313506037,0.343361348,0.299189627,0.404702038,0.216949686,0.204371259
Smad1,0.128986195,0.058393251,0.036537301,0.013180643,0.019331798,0.033680137,0.016589858,0.044831213,0.009910363,0.010662642,0.01354307
