gene_name,Q4minusQ1,Q3minusOther,InputMinusAvg
Actl6b,-3.267032648,-1.231132092,0.653260583
Aff1,-1.622087294,0.591622461,1.381126799
Aff4,1.035968976,1.790030067,-0.551445531
Arid1b,2.318832432,0.943366006,-0.571609444
Arid2,0.527851409,-1.859857967,-0.695810197
Ash1l,0.359600506,1.003580035,-2.432694876
Ash2l,-0.831042315,0.795951725,-2.383092877
Asxl1,-0.316882296,-1.687822283,-1.001338703
Asxl2,0.666925702,0.505552287,-0.763452925
Asxl3,-1.170971828,0.218347219,-4.310111411
Atad2,-0.336744045,1.686006241,-2.37910087
Atad2b,0.869725772,1.146017107,-3.155723828
Atm,-1.388090759,-0.471663958,-3.206649662
Atr,-0.757242497,-0.752496681,-0.227685203
Atrx,-0.665632256,-1.496873746,-2.548270199
Aurkb,-0.665672992,0.967552027,1.218565495
Baz1a,-1.249121909,-0.087668708,-1.844336122
Baz1b,-1.036414209,-1.460870567,-2.137188261
Baz2a,0.939061403,1.226652181,-1.359886518
Baz2b,-1.469202367,-3.412875778,-4.242347678
Bcl6,1.514716439,1.75637552,-3.812493593
Bmi1,-0.821157116,-0.811344507,-0.830923347
Bop1,-0.352706095,1.688315897,-2.305168912
Bptf,-1.309303842,-1.673660311,-1.662327939
Brd1,0.294037227,0.345731396,-1.617899041
Brd2,-4.306051647,1.052756811,-0.272502408
Brd3,0.856915063,0.969440674,-1.501422075
Brd4,3.244003762,-0.747934829,1.64920057
Brd7,-0.730563643,-0.212832607,1.748972774
Brd8,-0.777966309,-0.786998162,-0.519083029
Brd9,-0.755493577,1.414625139,-0.766853366
Brdt,-1.585240189,0.477996891,-1.881743468
Brpf1,-1.515920651,0.996546345,-1.21644814
Brpf3,-0.487282819,0.189431747,-0.554394262
Brwd1,1.108404921,-1.452663424,-1.112116912
Brwd3,-1.56919019,-2.280822426,-1.443131736
Carm1,-2.533474997,-1.464449236,-0.945530864
Cbx1,-1.010212724,-1.06648086,-1.832853491
Cbx2,0.037366495,-1.374622955,-0.465640696
Cbx3,-1.664012829,-0.638513457,0.539120031
Cbx4,-2.460266838,0.508831554,-1.115805253
Cbx5,0.903171605,-1.504819029,-0.886438393
Cbx6,1.438680567,-2.730275847,0.797402697
Cbx7,-1.20246632,-2.36355099,-3.462094536
Cbx8,-1.627778086,-1.007581241,-0.775381808
Cd14,-1.323267116,1.143801987,0.478417709
Cd4,-0.377362439,-1.024717491,0.850747658
Cecr2,0.131154854,3.184092422,-2.205341786
Chaf1a,-0.782283521,-1.945649877,0.563212425
Chaf1b,1.304048082,-1.086329582,0.710269753
Chd1,0.175927327,1.346634061,-0.464369588
Chd1l,2.439642778,-2.371090698,0.560011033
Chd2,-0.77065043,-1.145720327,-1.512627052
Chd3,0.667753249,0.354287763,-0.920606944
Chd4,2.186028593,-1.427887377,-0.908468355
Chd5,1.50892094,2.842372481,-1.38098818
Chd6,0.50012742,1.991912404,-1.108868488
Chd7,3.108823652,1.7947011,-0.954361994
Chd8,0.502288777,0.653515578,-1.453697363
Chd9,1.825395706,-0.550862084,-1.117898523
Clock,-0.245357215,-1.21149316,-1.804270148
Crebbp,0.911505238,-0.318234419,-2.128529285
Ctsl,1.077671442,0.844223772,0.30665837
Cxxc1,-1.310849325,-0.126530551,-0.865621061
Dmap1,0.808616009,1.305066404,-1.730607301
Dnmt1,-1.347572095,0.808845975,0.833536007
Dnmt3a,0.569333961,0.722553363,-4.532533705
Dnmt3b,0.991653005,-1.875779004,-0.528720833
Dnmt3l,1.210450048,-0.524963102,0.437720435
Dot1l,2.312965085,-0.519529997,-1.392523822
Dpy30,-0.604820766,-0.470559936,0.556187115
Dub2a,0.739654168,0.671557801,-1.161765052
Eaf1,1.160368965,1.243096591,1.304605998
Eed,-0.563708764,-0.451566459,-0.690906058
